Location,Date,AQI
District of Columbia,1981-10-13,79.0
District of Columbia,1981-10-14,80.0
District of Columbia,1981-10-15,104.0
District of Columbia,1981-10-16,98.0
District of Columbia,1981-10-17,57.0
District of Columbia,1981-10-18,52.0
District of Columbia,1981-10-19,47.0
District of Columbia,1981-10-20,63.0
District of Columbia,1981-10-21,103.0
District of Columbia,1981-10-22,84.0
District of Columbia,1981-10-23,85.0
District of Columbia,1981-10-24,69.0
District of Columbia,1981-10-25,44.0
District of Columbia,1981-10-26,72.0
District of Columbia,1981-10-27,65.0
District of Columbia,1981-10-28,76.0
District of Columbia,1981-10-29,74.0
District of Columbia,1981-10-30,88.0
District of Columbia,1981-10-31,66.0
District of Columbia,1981-11-01,49.0
District of Columbia,1981-11-02,76.0
District of Columbia,1981-11-03,82.0
District of Columbia,1981-11-04,180.0
District of Columbia,1981-11-05,190.0
District of Columbia,1981-11-06,57.0
District of Columbia,1981-11-07,39.0
District of Columbia,1981-11-08,75.0
District of Columbia,1981-11-09,107.0
District of Columbia,1981-11-10,61.0
District of Columbia,1981-11-11,49.0
District of Columbia,1981-11-12,62.0
District of Columbia,1981-11-13,125.0
District of Columbia,1981-11-14,74.0
District of Columbia,1981-11-15,33.0
District of Columbia,1981-11-16,73.0
District of Columbia,1981-11-17,92.0
District of Columbia,1981-11-18,96.0
District of Columbia,1981-11-19,63.0
District of Columbia,1981-11-20,66.0
District of Columbia,1981-11-21,32.0
District of Columbia,1981-11-22,33.0
District of Columbia,1981-11-23,87.0
District of Columbia,1981-11-24,85.0
District of Columbia,1981-11-25,66.0
District of Columbia,1981-11-26,49.0
District of Columbia,1981-11-27,38.0
District of Columbia,1981-11-28,24.0
District of Columbia,1981-11-29,28.0
District of Columbia,1981-11-30,84.0
District of Columbia,1981-12-01,79.0
District of Columbia,1981-12-02,67.0
District of Columbia,1981-12-03,67.0
District of Columbia,1981-12-04,82.0
District of Columbia,1981-12-05,61.0
District of Columbia,1981-12-06,32.0
District of Columbia,1981-12-07,74.0
District of Columbia,1981-12-08,75.0
District of Columbia,1981-12-09,69.0
District of Columbia,1981-12-10,57.0
District of Columbia,1981-12-11,87.0
District of Columbia,1981-12-12,59.0
District of Columbia,1981-12-13,57.0
District of Columbia,1981-12-14,92.0
District of Columbia,1981-12-15,108.0
District of Columbia,1981-12-16,69.0
District of Columbia,1981-12-17,50.0
District of Columbia,1981-12-18,91.0
District of Columbia,1981-12-19,54.0
District of Columbia,1981-12-20,28.0
District of Columbia,1981-12-21,47.0
District of Columbia,1981-12-22,42.0
District of Columbia,1981-12-23,79.0
District of Columbia,1981-12-24,88.0
District of Columbia,1981-12-25,35.0
District of Columbia,1981-12-26,38.0
District of Columbia,1981-12-27,38.0
District of Columbia,1981-12-28,102.0
District of Columbia,1981-12-29,33.0
District of Columbia,1981-12-30,68.0
District of Columbia,1981-12-31,62.0
District of Columbia,1982-01-01,33.0
District of Columbia,1982-01-02,42.0
District of Columbia,1982-01-03,39.0
District of Columbia,1982-01-04,33.0
District of Columbia,1982-01-05,116.0
District of Columbia,1982-01-06,95.0
District of Columbia,1982-01-07,72.0
District of Columbia,1982-01-08,59.0
District of Columbia,1982-01-09,33.0
District of Columbia,1982-01-10,28.0
District of Columbia,1982-01-11,41.0
District of Columbia,1982-01-12,65.0
District of Columbia,1982-01-13,95.0
District of Columbia,1982-01-14,42.0
District of Columbia,1982-01-15,99.0
District of Columbia,1982-01-16,98.0
District of Columbia,1982-01-17,42.0
District of Columbia,1982-01-18,57.0
District of Columbia,1982-01-19,57.0
District of Columbia,1982-01-20,87.0
District of Columbia,1982-01-21,63.0
District of Columbia,1982-01-22,58.0
District of Columbia,1982-01-23,63.0
District of Columbia,1982-01-24,33.0
District of Columbia,1982-01-25,70.0
District of Columbia,1982-01-26,78.0
District of Columbia,1982-01-27,57.0
District of Columbia,1982-01-28,57.0
District of Columbia,1982-01-29,200.0
District of Columbia,1982-01-30,208.0
District of Columbia,1982-01-31,57.0
District of Columbia,1982-02-01,42.0
District of Columbia,1982-02-02,50.0
District of Columbia,1982-02-03,60.0
District of Columbia,1982-02-04,43.0
District of Columbia,1982-02-05,52.0
District of Columbia,1982-02-06,28.0
District of Columbia,1982-02-07,47.0
District of Columbia,1982-02-08,57.0
District of Columbia,1982-02-09,57.0
District of Columbia,1982-02-10,57.0
District of Columbia,1982-02-11,73.0
District of Columbia,1982-02-12,63.0
