Location,Date,AQI
Prince George's County,1981-08-02,129.0
Prince George's County,1981-08-03,51.0
Prince George's County,1981-08-04,129.0
Prince George's County,1981-08-05,115.0
Prince George's County,1981-08-07,105.0
Prince George's County,1981-08-08,84.0
Prince George's County,1981-08-09,129.0
Prince George's County,1981-08-10,206.0
Prince George's County,1981-08-11,154.0
Prince George's County,1981-08-13,51.0
Prince George's County,1981-08-14,133.0
Prince George's County,1981-08-15,101.0
Prince George's County,1981-08-16,50.0
Prince George's County,1981-08-17,39.0
Prince George's County,1981-08-18,80.0
Prince George's County,1981-08-19,90.0
Prince George's County,1981-08-20,151.0
Prince George's County,1981-08-21,87.0
Prince George's County,1981-08-22,34.0
Prince George's County,1981-08-23,100.0
Prince George's County,1981-08-24,161.0
Prince George's County,1981-08-25,74.0
Prince George's County,1981-08-26,80.0
Prince George's County,1981-08-27,166.0
Prince George's County,1981-08-28,172.0
Prince George's County,1981-08-29,48.0
Prince George's County,1981-08-30,30.0
Prince George's County,1981-08-31,41.0
Prince George's County,1981-09-01,35.0
Prince George's County,1981-09-02,36.0
Prince George's County,1981-09-03,26.0
Prince George's County,1981-09-04,29.0
Prince George's County,1981-09-05,32.0
Prince George's County,1981-09-06,36.0
Prince George's County,1981-09-07,38.0
Prince George's County,1981-09-08,38.0
Prince George's County,1981-09-09,53.0
Prince George's County,1981-09-10,44.0
Prince George's County,1981-09-11,100.0
Prince George's County,1981-09-12,140.0
Prince George's County,1981-09-13,179.0
Prince George's County,1981-09-14,154.0
Prince George's County,1981-09-15,54.0
Prince George's County,1981-09-16,35.0
Prince George's County,1981-09-17,37.0
Prince George's County,1981-09-18,35.0
Prince George's County,1981-09-19,35.0
Prince George's County,1981-09-20,39.0
Prince George's County,1981-09-21,71.0
Prince George's County,1981-09-22,87.0
Prince George's County,1981-09-23,19.0
Prince George's County,1981-09-24,29.0
Prince George's County,1981-09-25,71.0
Prince George's County,1981-09-26,90.0
Prince George's County,1981-09-27,133.0
Prince George's County,1981-09-28,34.0
Prince George's County,1981-09-29,40.0
Prince George's County,1981-09-30,48.0
Prince George's County,1981-10-01,112.0
Prince George's County,1981-10-02,25.0
Prince George's County,1981-10-03,23.0
Prince George's County,1981-10-04,34.0
Prince George's County,1981-10-05,78.0
Prince George's County,1981-10-06,65.0
Prince George's County,1981-10-07,22.0
Prince George's County,1981-10-08,25.0
Prince George's County,1981-10-09,42.0
Prince George's County,1981-10-10,39.0
Prince George's County,1981-10-11,39.0
Prince George's County,1981-10-12,45.0
Prince George's County,1981-10-13,64.0
Prince George's County,1981-10-14,56.0
Prince George's County,1981-10-15,62.0
Prince George's County,1981-10-16,89.0
Prince George's County,1981-10-17,41.0
Prince George's County,1981-10-18,31.0
Prince George's County,1981-10-19,28.0
Prince George's County,1981-10-20,49.0
Prince George's County,1981-10-21,64.0
Prince George's County,1981-10-22,69.0
Prince George's County,1981-10-23,34.0
Prince George's County,1981-10-24,33.0
Prince George's County,1981-10-25,38.0
Prince George's County,1981-10-26,24.0
Prince George's County,1981-10-27,30.0
Prince George's County,1981-10-28,41.0
Prince George's County,1981-10-29,41.0
Prince George's County,1981-10-30,42.0
Prince George's County,1981-10-31,41.0
Prince George's County,1981-11-01,47.0
Prince George's County,1981-11-02,71.0
Prince George's County,1981-11-03,48.0
Prince George's County,1981-11-04,93.0
Prince George's County,1981-11-05,95.0
Prince George's County,1981-11-06,32.0
Prince George's County,1981-11-07,31.0
Prince George's County,1981-11-08,59.0
Prince George's County,1981-11-09,104.0
Prince George's County,1981-11-10,35.0
Prince George's County,1981-11-11,49.0
Prince George's County,1981-11-12,37.0
Prince George's County,1981-11-13,42.0
Prince George's County,1981-11-14,38.0
Prince George's County,1981-11-15,28.0
Prince George's County,1981-11-16,51.0
Prince George's County,1981-11-17,42.0
Prince George's County,1981-11-18,36.0
Prince George's County,1981-11-19,61.0
Prince George's County,1981-11-20,29.0
Prince George's County,1981-11-21,19.0
Prince George's County,1981-11-22,25.0
Prince George's County,1981-11-23,65.0
Prince George's County,1981-11-24,68.0
Prince George's County,1981-11-25,35.0
Prince George's County,1981-11-26,41.0
Prince George's County,1981-11-27,31.0
Prince George's County,1981-11-28,18.0
Prince George's County,1981-11-29,1.0
Prince George's County,1981-11-30,95.0
Prince George's County,1981-12-01,97.0
Prince George's County,1981-12-02,47.0
Prince George's County,1981-12-03,54.0
Prince George's County,1981-12-04,54.0
Prince George's County,1981-12-05,42.0
Prince George's County,1981-12-06,27.0
Prince George's County,1981-12-07,47.0
Prince George's County,1981-12-08,60.0
Prince George's County,1981-12-09,27.0
Prince George's County,1981-12-10,26.0
Prince George's County,1981-12-11,25.0
Prince George's County,1981-12-12,30.0
Prince George's County,1981-12-13,57.0
Prince George's County,1981-12-14,60.0
Prince George's County,1981-12-15,42.0
Prince George's County,1981-12-16,26.0
Prince George's County,1981-12-17,56.0
Prince George's County,1981-12-18,53.0
Prince George's County,1981-12-19,28.0
Prince George's County,1981-12-20,33.0
Prince George's County,1981-12-21,58.0
Prince George's County,1981-12-22,46.0
Prince George's County,1981-12-23,42.0
Prince George's County,1981-12-24,79.0
Prince George's County,1981-12-25,55.0
Prince George's County,1981-12-26,64.0
Prince George's County,1981-12-27,49.0
Prince George's County,1981-12-28,83.0
Prince George's County,1981-12-29,32.0
Prince George's County,1981-12-30,70.0
Prince George's County,1981-12-31,73.0
Prince George's County,1982-01-01,27.0
Prince George's County,1982-01-02,30.0
Prince George's County,1982-01-03,39.0
Prince George's County,1982-01-04,40.0
Prince George's County,1982-01-05,71.0
Prince George's County,1982-01-06,85.0
Prince George's County,1982-01-07,58.0
Prince George's County,1982-01-08,47.0
Prince George's County,1982-01-09,36.0
Prince George's County,1982-01-10,25.0
Prince George's County,1982-01-11,25.0
Prince George's County,1982-01-12,29.0
Prince George's County,1982-01-13,34.0
Prince George's County,1982-01-14,43.0
Prince George's County,1982-01-15,87.0
Prince George's County,1982-01-16,96.0
Prince George's County,1982-01-17,11.0
Prince George's County,1982-01-18,16.0
Prince George's County,1982-01-19,67.0
Prince George's County,1982-01-20,68.0
Prince George's County,1982-01-21,38.0
Prince George's County,1982-01-22,19.0
Prince George's County,1982-01-23,22.0
Prince George's County,1982-01-24,27.0
Prince George's County,1982-01-25,102.0
Prince George's County,1982-01-26,38.0
Prince George's County,1982-01-27,55.0
Prince George's County,1982-01-28,60.0
Prince George's County,1982-01-29,91.0
Prince George's County,1982-01-30,89.0
Prince George's County,1982-01-31,35.0
Prince George's County,1982-02-01,52.0
Prince George's County,1982-02-02,46.0
Prince George's County,1982-02-03,58.0
Prince George's County,1982-02-04,40.0
Prince George's County,1982-02-05,41.0
Prince George's County,1982-02-06,33.0
Prince George's County,1982-02-07,44.0
Prince George's County,1982-02-08,65.0
Prince George's County,1982-02-09,52.0
Prince George's County,1982-02-10,46.0
Prince George's County,1982-02-11,47.0
Prince George's County,1982-02-12,68.0
Prince George's County,1982-02-13,31.0
Prince George's County,1982-02-14,44.0
Prince George's County,1982-02-15,42.0
Prince George's County,1982-02-16,33.0
Prince George's County,1982-02-17,50.0
Prince George's County,1982-02-18,30.0
Prince George's County,1982-02-19,48.0
Prince George's County,1982-02-20,39.0
Prince George's County,1982-02-21,28.0
Prince George's County,1982-02-22,38.0
Prince George's County,1982-02-23,112.0
Prince George's County,1982-02-24,110.0
Prince George's County,1982-02-25,38.0
Prince George's County,1982-02-26,103.0
Prince George's County,1982-02-27,64.0
Prince George's County,1982-02-28,66.0
Prince George's County,1982-03-01,51.0
Prince George's County,1982-03-02,82.0
Prince George's County,1982-03-03,36.0
Prince George's County,1982-03-04,27.0
Prince George's County,1982-03-05,63.0
Prince George's County,1982-03-06,50.0
Prince George's County,1982-03-07,56.0
Prince George's County,1982-03-08,50.0
Prince George's County,1982-03-09,43.0
Prince George's County,1982-03-10,48.0
Prince George's County,1982-03-11,48.0
Prince George's County,1982-03-12,60.0
Prince George's County,1982-03-13,55.0
Prince George's County,1982-03-14,48.0
Prince George's County,1982-03-15,37.0
Prince George's County,1982-03-16,41.0
Prince George's County,1982-03-17,39.0
